Time,GameId,Type,Player,x,y,z
0,0,SPAWN,Steven,212.000000,2360.000000,65.000000
1,0,POS,Ranger,0.000000,0.000000,0.000000
1,0,POS,Steven,212.000000,2360.000000,65.000000
2,0,POS,Ranger,0.000000,0.000000,0.000000
2,0,POS,Steven,278.373718,2273.218994,55.889801
2,0,SPAWN,Ranger,1052.000000,1432.000000,33.000000
2,0,POS,Steven,255.634476,2103.027100,24.218668
2,0,POS,Steven,255.634476,2103.027100,24.218668
2,0,POS,Steven,250.090485,2094.599854,24.218668
3,0,POS,Ranger,993.316772,1569.607910,24.125000
3,0,POS,Steven,225.757813,1999.107056,24.218668
4,0,POS,Ranger,1069.082764,1847.402588,24.125000
4,0,POS,Steven,536.658203,2046.304565,24.125000
4,0,POS,Ranger,1084.947388,1863.258423,24.125000
4,0,POS,Steven,624.187927,2060.021973,24.125000
4,0,POS,Ranger,1100.565796,2029.659180,24.125000
4,0,POS,Ranger,1094.682739,2061.255371,24.125000
4,0,POS,Ranger,1093.650147,2095.157715,24.125000
5,0,POS,Ranger,1095.240479,2103.543701,24.125000
5,0,POS,Steven,769.160095,2029.934448,24.125000
6,0,POS,Ranger,1087.080322,1942.110107,24.125000
6,0,POS,Steven,801.123230,2276.072998,28.125000
7,0,POS,Ranger,943.411926,1704.843506,24.125000
7,0,POS,Steven,780.101196,2132.494141,24.146294
8,0,POS,Ranger,765.773804,1538.070557,28.125000
8,0,POS,Steven,907.855286,1835.716919,24.366285
9,0,POS,Ranger,810.766296,1289.889893,24.127832
9,0,POS,Steven,868.500122,1549.591675,24.366735
9,0,POS,Ranger,886.566162,1323.634522,24.127832
10,0,POS,Ranger,999.151672,1345.618530,24.127832
10,0,POS,Steven,703.608154,1336.288940,24.163910
11,0,POS,Ranger,1070.501343,1082.288574,24.125000
11,0,POS,Steven,920.421509,1368.055786,24.163910
11,0,DPOS,Ranger,1086.528687,777.331726,24.125000
11,0,POS,Steven,1066.564331,1110.695190,24.163910
12,0,POS,Ranger,1089.911743,735.882629,24.129690
12,0,POS,Steven,1070.152222,1092.786743,24.163910
13,0,POS,Ranger,1114.612183,499.200165,-15.875000
13,0,POS,Steven,1112.036377,775.295532,24.163910
13,0,SPAWN,Ranger,1052.000000,1432.000000,33.000000
14,0,POS,Ranger,1043.618042,1451.889893,24.125000
14,0,POS,Steven,1037.645142,499.155090,-15.875000
15,0,POS,Ranger,982.515198,1752.962280,24.125000
15,0,POS,Steven,800.443665,632.649170,-15.875000
15,0,POS,Steven,711.822510,717.208557,-17.643200
16,0,POS,Ranger,963.584717,2025.594849,24.125000
